Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
2012950006172,350850,653380,-2.785007,55.771284,95,3,2,1,31/10/2012,4,11:14:00,914,S12000026,3,697,6,60,0,-1,-1,0,0,0,1,2,2,0,0,2,1,
2012950006180,317940,672720,-3.315323,55.940542,95,3,1,1,04/11/2012,1,18:40:00,923,S12000036,3,8,3,40,7,2,6,0,0,5,4,1,2,0,0,1,1,
2012950006184,336220,662270,-3.020259,55.84944,95,3,1,1,29/10/2012,2,19:45:00,929,S12000019,4,6372,6,30,8,4,6,0,0,0,6,2,2,0,0,2,1,
2012950006187,328980,670200,-3.137954,55.919664,95,3,2,1,05/11/2012,2,08:45:00,923,S12000036,3,7,6,30,3,4,6,0,0,4,1,1,2,0,0,1,1,
2012950006188,305820,667240,-3.507379,55.889098,95,3,2,1,22/10/2012,2,17:30:00,940,S12000040,3,899,3,60,0,-1,-1,0,0,0,1,1,1,0,0,1,1,
2012950006193,323300,671790,-3.229269,55.933074,95,3,2,1,04/11/2012,1,20:30:00,923,S12000036,6,0,6,30,6,4,6,0,0,8,4,1,1,0,0,1,2,
2012950006195,298470,665970,-3.624368,55.876197,95,3,2,1,05/11/2012,2,07:50:00,940,S12000040,4,792,6,30,3,4,6,0,0,4,1,1,1,0,0,2,1,
2012950006203,325220,676130,-3.19975,55.972363,95,2,2,1,05/11/2012,2,18:13:00,923,S12000036,6,0,6,30,6,4,6,0,0,4,4,1,2,0,0,1,1,
2012950006207,308250,671810,-3.470093,55.930615,95,3,2,3,05/11/2012,2,16:30:00,940,S12000040,3,89,6,50,6,2,6,0,0,5,4,1,2,0,0,1,1,
2012950006209,358350,619430,-2.66032,55.466955,95,3,1,1,05/11/2012,2,19:40:00,914,S12000026,3,698,6,60,0,-1,-1,0,0,0,6,1,2,7,0,2,1,
2012950006214,305810,668280,-3.507901,55.898437,95,3,2,1,06/11/2012,3,07:50:00,940,S12000040,3,705,6,50,5,4,3,899,0,0,1,1,1,0,0,1,1,
2012950006220,327570,665470,-3.159243,55.876963,95,3,2,1,06/11/2012,3,08:00:00,929,S12000019,6,0,6,30,6,4,6,0,0,0,1,8,2,0,0,2,1,
2012950006224,334430,666520,-3.049873,55.887379,95,3,1,1,06/11/2012,3,08:00:00,929,S12000019,6,0,6,30,9,4,6,0,0,4,1,2,2,1,0,2,1,
2012950006225,340710,673770,-2.95108,55.953327,95,3,1,3,06/11/2012,3,14:30:00,921,S12000010,3,1,3,70,1,4,3,198,0,0,1,1,2,0,0,2,1,
2012950006226,331580,669650,-3.096221,55.9151,95,2,1,1,06/11/2012,3,16:00:00,929,S12000019,3,6106,6,60,9,4,6,0,0,8,1,1,2,0,0,2,1,
2012950006227,325850,674000,-3.189071,55.953327,95,3,1,1,06/11/2012,3,19:00:00,923,S12000036,3,7,6,30,3,2,6,0,0,5,4,1,2,0,0,1,1,
2012950006228,326900,674320,-3.172346,55.956362,95,3,2,1,06/11/2012,3,20:35:00,923,S12000036,3,1,6,30,6,2,5,0,0,5,4,1,1,0,0,1,1,
2012950006229,325270,673870,-3.198321,55.952069,95,2,1,1,23/10/2012,3,18:15:00,923,S12000036,3,8,3,30,0,-1,-1,0,0,0,5,7,2,0,2,1,2,
2012950006230,304670,667450,-3.525833,55.890757,95,3,2,1,05/11/2012,2,19:45:00,940,S12000040,6,0,6,30,6,2,4,7015,0,5,4,8,2,0,0,1,1,
2012950006231,292290,665370,-3.722859,55.869466,95,3,1,1,06/11/2012,3,23:20:00,940,S12000040,1,8,3,70,0,-1,-1,0,0,0,6,5,2,0,0,2,1,
2012950006236,324790,673250,-3.205833,55.946425,95,3,1,2,04/11/2012,1,20:05:00,923,S12000036,3,702,6,30,0,-1,-1,0,0,0,4,1,2,0,0,1,2,
2012950006238,322510,674970,-3.242826,55.961512,95,3,2,5,07/11/2012,4,07:44:00,923,S12000036,3,902,6,30,3,4,6,0,0,5,1,1,1,0,0,1,1,
2012950006245,325300,673300,-3.197683,55.946953,95,3,1,1,07/11/2012,4,16:25:00,923,S12000036,5,0,6,30,9,2,6,0,0,5,5,2,2,0,0,1,1,
